slide_name,global_cell_id,split,DAPI,DAPI_pos,CD3,CD3_pos,CD20,CD20_pos,PanCK,PanCK_pos
slide_001,1,train,40.36059338151389,0,186.13465195891973,1,170.0616203879802,1,105.60973754279193,1
slide_001,2,train,48.462291072156546,1,105.03750509580107,0,157.2637586628618,1,98.16754993885039,0
slide_001,3,train,57.878112712975096,1,159.30056793359546,1,162.3403232852774,1,107.37308868501529,1
slide_001,4,train,40.0,0,146.1051390853371,1,169.16030174446016,1,104.06129184347006,1
slide_001,5,train,40.111167771545134,0,190.27383987761345,1,136.24681285058642,1,107.01070882202957,1
slide_001,6,train,52.88120468488567,1,105.54935861684328,0,123.19464584495259,0,101.87730061349693,1
slide_001,7,train,50.7102238354507,1,150.508166969147,1,116.90320629159105,0,95.14519056261344,0
slide_001,8,train,40.0,0,147.67237969676995,1,133.98483849703362,0,104.95781147000659,1
slide_001,9,train,49.18295930011411,1,178.58273107645493,1,68.98592620768353,0,99.05629516926588,1
slide_001,10,train,61.57113738279658,1,106.24908275580921,0,67.31349368120668,0,104.22829188748472,1
slide_001,11,train,41.59458278724334,0,133.95194408038444,0,46.678899082568805,0,75.91830493665356,0
slide_001,12,train,40.0,0,133.1852899575672,0,59.19424799622819,0,86.80763790664781,0
slide_001,13,train,54.133095359510456,1,183.1427842937277,1,85.19071902090771,0,103.2921978582356,1
slide_001,14,train,55.57836029001673,1,95.6776352481874,0,73.12994980479642,0,93.3095370886782,0
slide_001,15,train,40.0,0,136.96188747731398,0,63.63278886872353,0,77.1373260738052,0
slide_001,16,train,41.49901120632828,0,135.6440342781806,0,75.85102175346078,0,89.30916282135794,0
slide_001,17,train,55.17991631799163,1,182.5971852415367,1,176.8216051730696,1,104.50323316850513,1
slide_001,18,train,41.19894007337953,0,84.24174480228292,0,151.6379942927028,1,74.24174480228292,0
slide_001,19,train,41.08038444735693,0,139.6068152031455,0,158.84927916120577,1,80.4006116207951,0
slide_001,20,train,44.5044790193305,1,139.06129184347006,0,171.8095238095238,1,93.63696369636963,0
slide_001,21,train,49.06731259561448,1,175.91330953595104,1,186.5017848036716,1,93.63386027536971,0
slide_001,22,train,40.0,0,84.49302844394869,0,171.8053541550474,1,75.22197434467373,0
slide_001,23,train,43.30248033877798,1,144.0260133091349,0,180.83484573502722,1,84.75741076830006,0
slide_001,24,train,49.74950560316414,1,141.68556361239288,0,192.21621621621622,1,97.99472643375083,0
slide_001,25,train,40.45682769113731,0,183.39026245720805,1,148.51464435146443,1,104.13465195891975,1
slide_001,26,train,40.42152466367713,0,98.34080717488789,0,131.20627802690584,0,88.54015491235222,0
slide_001,27,train,48.71122761031018,1,153.71515945827872,1,137.45915246832678,1,98.52249890782001,0
slide_001,28,train,40.876473361621876,0,155.46817538896747,1,152.4101838755304,1,108.07637906647808,1
slide_001,29,train,40.0,0,186.95104538500766,1,114.01835798062213,0,105.29423763386028,1
slide_001,30,train,42.64138315672058,0,98.88957055214723,0,96.46960401561628,0,91.24539877300613,0
slide_001,31,train,54.153660012099216,1,156.94555353901995,1,102.70901391409558,0,102.93103448275862,1
slide_001,32,train,41.83915622940013,0,151.9288068556361,1,114.1977587343441,0,107.14040870138432,1
slide_001,33,train,40.50741726892355,0,186.3229364777482,1,170.53708634461773,1,106.19627234689996,1
slide_001,34,train,51.07011822258459,1,97.21728495719528,0,158.88626172034245,1,100.93558907460253,1
slide_001,35,train,53.528178243774576,1,172.59501965923985,1,157.6177370030581,1,100.89384010484928,1
slide_001,36,train,40.0,0,123.92692126355493,0,169.44884488448844,1,104.34653465346534,1
slide_001,37,train,40.139724630290665,0,190.4023457419684,1,136.59102498725142,1,107.52830188679245,1
slide_001,38,train,55.62688232013385,1,97.31511433351925,0,124.86781929726715,0,104.74010039040714,1
slide_001,39,train,44.09558378705384,1,162.4271022383545,1,110.69570477918936,0,86.14821536600121,0
slide_001,40,train,40.0,0,124.89914304548451,0,134.42715886618325,0,105.31575477916941,1
slide_001,41,train,51.70863446177254,1,179.65614302015976,1,70.54507417268924,0,101.79155572461012,1
slide_001,42,train,58.878516102731346,1,91.91398287810844,0,62.72034243783123,0,98.69384427231961,1
slide_001,43,train,40.0,0,152.7981651376147,1,47.39318479685452,0,75.71996505024028,0
slide_001,44,train,40.4012258368694,0,112.35124941065536,0,60.84252710985384,0,88.56624233851957,0
slide_001,45,train,56.893931667516576,1,184.11269760326365,1,86.75828658847527,0,106.01223865374808,1
slide_001,46,train,47.61349693251534,1,77.66146123814835,0,65.3569436698271,0,82.24762967094256,0
slide_001,47,train,40.0,0,158.0193587416818,1,65.72474289171204,0,79.05686630369026,0
slide_001,48,train,43.91694133157548,1,113.83586025049439,0,77.5398813447594,0,92.16413974950561,0
slide_001,49,train,51.26321795359452,1,177.3149486496767,1,172.36934195511603,1,98.47622670216812,0
slide_001,50,train,40.0,0,75.05177333876885,0,152.0346514472075,1,73.97635548308195,0
slide_001,51,train,42.40629095674967,0,159.78855395369158,1,160.93796417649628,1,82.98034076015728,0
slide_001,52,train,46.81848184818482,1,118.22772277227723,0,173.35077793493636,1,96.21169259783122,0
slide_001,53,train,43.746557878633354,1,168.93217746047935,1,181.0841407445181,1,85.99541050484447,0
slide_001,54,train,40.06748466257669,0,76.55270496374791,0,173.88176240936977,1,77.1617401003904,0
slide_001,55,train,45.74228675136116,1,165.06775559588627,1,182.93163944343618,1,87.88687235329704,0
slide_001,56,train,52.688859591298616,1,119.91562294001318,0,193.8569545154911,1,100.92814765985497,1
slide_001,57,train,40.0,0,182.72803347280336,1,148.78394826930392,1,104.12248003042983,1
slide_001,58,train,41.48145128414187,0,90.5132490827558,0,132.83041174072565,0,90.57480635955972,0
slide_001,59,train,51.296636085626915,1,173.57579729139363,1,138.9750982961992,1,101.19091306247269,1
slide_001,60,train,41.74021687883074,0,130.84912776991985,0,151.62753418198963,1,107.67562470532768,1
slide_001,61,train,40.0,0,187.0637429882713,1,114.50229474757776,0,105.6562978072412,1
slide_001,62,train,45.26213050752928,1,90.65309537088679,0,98.17401003904071,0,94.09704406023424,0
slide_001,63,train,56.97217180883243,1,177.72413793103448,1,104.3200241984271,0,105.78523895946763,1
slide_001,64,train,41.255767963085034,0,124.6479894528675,0,112.95978905735004,0,105.62491760052735,1
slide_002,1,valid,42.12742487637885,0,186.0,1,168.64016736401675,1,123.35222518067707,1
slide_002,2,valid,54.40399510803098,1,105.31920097839381,0,156.3550754178557,1,118.40114145943743,1
slide_002,3,valid,51.491480996068155,1,146.54434250764527,1,149.24115334207076,1,110.26168632590651,0
slide_002,4,valid,40.0,0,144.76473361621876,1,166.49269212635548,1,119.64875058934464,1
slide_002,5,valid,42.24681285058644,0,190.43600203977562,1,134.9020907700153,1,125.18867924528301,1
slide_002,6,valid,60.22197434467373,1,106.0808700501952,0,122.61293920803124,0,123.04406023424428,1
slide_002,7,valid,40.95220810647308,0,134.94797338173018,0,101.31155474894132,0,94.06231094978827,0
slide_002,8,valid,40.02900461437047,0,147.6789716545814,1,132.64139749505603,0,121.76334871456822,1
slide_002,9,valid,56.35907189045265,1,179.43552681627995,1,68.6960821605173,0,120.43818942563712,1
slide_002,10,valid,54.476151651039544,1,96.21850794944966,0,57.55197717081125,0,109.8189971463514,0
slide_002,11,valid,40.0,0,136.40629095674967,0,49.118829183049364,0,95.31542158147663,0
slide_002,12,valid,42.69118340405469,0,133.47477604903347,0,58.18953323903819,0,105.45497406883545,0
slide_002,13,valid,62.922488526262114,1,184.1907190209077,1,85.36002039775624,0,125.78225395206528,1
slide_002,14,valid,41.53485778025655,0,82.95705521472392,0,60.61963190184049,0,92.93195761293921,0
slide_002,15,valid,40.0,0,140.95160314579553,0,67.44464609800363,0,98.52510586811857,0
slide_002,16,valid,48.74884640738299,1,136.23665128543178,0,75.31311799604482,0,110.5385629531971,0
slide_002,17,valid,50.06998858881704,1,170.9094712818562,1,165.011030810194,1,109.17040699885888,0
slide_002,18,valid,40.01875254790053,0,86.4239706481859,0,153.76029351814105,1,93.52914798206278,0
slide_002,19,valid,43.93577981651376,1,143.5286151157711,0,162.66186107470512,1,103.32459589340323,0
slide_002,20,valid,52.57944365865158,1,140.05186232909006,0,171.86892975011787,1,115.72277227722772,1
slide_002,21,valid,41.3865374808771,0,161.9500254971953,1,172.77664456909739,1,95.26772055073941,0
slide_002,22,valid,40.38148354712772,0,88.38427216954824,0,175.6095928611266,1,96.87953151143336,0
slide_002,23,valid,48.27223230490018,1,147.91712038717483,1,184.65759225650334,1,108.75499092558984,0
slide_002,24,valid,59.856954515491104,1,143.07448912326961,0,192.94396835860252,1,121.65128543177323,1
slide_002,25,valid,40.0,0,181.74857360213008,1,145.89844047166224,1,119.56941802966908,1
slide_002,26,valid,43.25560538116592,0,98.34203016714227,0,129.91153689359967,0,106.92132083163473,0
slide_002,27,valid,56.55395369156837,1,154.57841852337265,1,137.26736566186108,1,120.27173438182612,1
slide_002,28,valid,44.86940122583687,1,150.07024988213107,1,149.5007072135785,1,125.22065063649222,1
slide_002,29,valid,40.15043345232024,0,186.44620091789903,1,112.04589495155533,0,121.59561448240693,1
slide_002,30,valid,48.81762409369772,1,99.15727830451758,0,95.50139431121026,0,111.53151143335192,0
slide_002,31,valid,63.7156684815487,1,158.19963702359345,1,103.13793103448276,0,126.0453720508167,1
slide_002,32,valid,40.796308503625575,0,144.63348714568227,1,110.17468688200395,0,120.8345418589321,1
slide_002,33,test,42.69608216051731,0,186.35412704450363,1,169.23012552301256,1,124.3495625713199,1
